raceethnicity,city,region,lawenforcementagency,cause,armed
Hispanic/Latino,Anchorage,West,Anchorage Police Department,Gunshot,yes
Native American,Anchorage,West,Anchorage Corrections Department,Death in custody,yes
Black,Birmingham,Southeast,Homewood Police Department,Gunshot,yes
White,Dadeville,Southeast,Tallapoosa County Sheriff s Department,Gunshot,yes
White,Bay Minette,Southeast,Baldwin County Sheriff s Office,Gunshot,yes
Black,Huntsville,Southeast,Huntsville Police Department,Gunshot,yes
Black,Millbrook,Southeast,Millbrook Police Department,Gunshot,No
Black,Birmingham,Southeast,Birmingham Police Department,Gunshot,No
White,Hoover,Southeast,Hoover Police Department,Gunshot,No
White,Moulton,Southeast,Lawrence County Sheriff s Office,Gunshot,yes
Black,Strong,Southeast,Union County Sheriff s Office,Gunshot,yes
Unknown,England,Southeast,England Police Department,Gunshot,yes
White,Cabot,Southeast,Lonoke County Sheriff s Office and Arkansas Department of Community Correction,Gunshot,yes
White,Jonesboro,Southeast,Jonesboro Police Department,Gunshot,No
Hispanic/Latino,Phoenix,Southwest,Tempe  Chandler and Mesa Police Departments [US Marshals Service Task Force],Gunshot,yes
Native American,Lukachukai,Southwest,Navajo Police Department,Gunshot,yes
Unknown,Tuscon ,Southwest,Tucson Police Department,Gunshot,yes
White,Morenci,Southwest,Clifton Police Department and Greenlee County Sheriff s Office,Gunshot,yes
White,Cottonwood,Southwest,Cottonwood Police Department,Gunshot,yes
White,Eagar,Southwest,Eagar Police Department and Apache County Sheriff s Office,Gunshot,yes
White,Phoenix,Southwest,Phoenix Police Department,Gunshot,yes
White,Maricopa,Southwest,Maricopa Police Department,Gunshot,yes
White,Glendale,Southwest,Glendale Police Department,Gunshot,yes
White,Tempe,Southwest,Tempe Police Department,Gunshot,yes
White,Kingman,Southwest,Kingman Police Department,Gunshot,yes
Black,Scottsdale,Southwest,Scottsdale Police Department,Gunshot,yes
Hispanic/Latino,Bisbee,Southwest,Bisbee Police Department,Gunshot,yes
Hispanic/Latino,Mesa,Southwest,Mesa Police Department,Gunshot,yes
White,Marana,Southwest,Marana Police Department,Gunshot,yes
Hispanic/Latino,San Manuel,Southwest,Pinal County Sheriff s Office,Gunshot,No
Hispanic/Latino,Chandler,Southwest,Chandler Police Department,Gunshot,No
Native American,Phoenix,Southwest,Phoenix Police Department,Gunshot,No
Unknown,Cottonwood,Southwest,Yavapai County SheriffÍ__Í__‘ïÍ©s Office,Gunshot,No
White,Phoenix,Southwest,Phoenix Police Department,Gunshot,No
White,Phoenix,Southwest,Phoenix Police Department,Gunshot,No
White,Kearny,Southwest,Pinal County Sheriff s Office,Gunshot,No
White,La Paz County,Southwest,Riverside County Sheriff s Department,Gunshot,No
White,Peoria ,Southwest,Glendale Police Department,Gunshot,yes
Hispanic/Latino,Phoenix,Southwest,Tempe  Chandler and Mesa Police Departments [US Marshals Service Task Force],Gunshot,yes
Hispanic/Latino,Fairfield,West,Fairfield Police Department,Gunshot,Disputed
Asian/Pacific Islander,Stockton,West,Stockton Police Department,Gunshot,yes
Black,Los Angeles,West,Los Angeles Police Department,Gunshot,yes
Black,Antioch,West,Contra Costa Sheriff s Office,Gunshot,yes
Black,Anaheim,West,Anaheim Police Department,Gunshot,yes
Black,Cerritos,West,Los Angeles County Sheriff s Department,Gunshot,yes
Black,San Jose,West,San Jose Police Department,Gunshot,yes
Black,Oakland,West,Emeryville Police Department,Gunshot,yes
Black,Los Angeles,West,Los Angeles County Sheriff s Department,Taser,yes
Hispanic/Latino,South Gate,West,South Gate Police Department,Gunshot,yes
Hispanic/Latino,Bakersfield,West,Bakersfield Police Department,Gunshot,yes
Hispanic/Latino,Los Angeles,West,Los Angeles County Sheriff s Department,Gunshot,yes
Hispanic/Latino,Wasco,West,Kern County Sheriff s Office,Gunshot,yes
Hispanic/Latino,Ontario,West,Ontario Police Department,Gunshot,yes
Hispanic/Latino,Hemet,West,Riverside County Sheriff s Department and California Highway Patrol,Gunshot,yes
Hispanic/Latino,Napa,West,Napa Police Department,Gunshot,yes
Hispanic/Latino,Delano,West,California Department of Corrections and Rehabilitation,Gunshot,yes
Hispanic/Latino,Los Angeles,West,Los Angeles Police Department,Gunshot,yes
Hispanic/Latino,Shafter,West,Shafter Police Department,Gunshot,yes
Hispanic/Latino,Burbank,West,Los Angeles Police Department,Gunshot,yes
Hispanic/Latino,Los Angeles,West,Los Angeles County Sheriff s Department,Gunshot,yes
Unknown,South Gate,West,South Gate Police Department,Gunshot,yes
Unknown,Long Beach,West,Long Beach Police Department,Gunshot,yes
Unknown,Tehachapi,West,Tehachapi Police Department,Gunshot,yes
Unknown,Fremont,West,Fremont Police Department,Gunshot,yes
Unknown,Lake Isabella,West,Kern County Sheriff s Office,Taser,yes
White,San Francisco,West,San Francisco Police Department,Gunshot,yes
White,Fontana,West,Fontana Police Department,Gunshot,yes
White,Sylmar,West,Los Angeles Police Department,Gunshot,yes
White,Garden Grove,West,Fountain Valley Police Department,Gunshot,yes
White,Apple Valley,West,San Bernardino County Sheriff s Department,Gunshot,yes
White,San Diego,West,San Diego Police Department,Gunshot,yes
White,Bakersfield,West,Bakersfield Police Department,Gunshot,yes
White,Calimesa,West,Riverside County Sheriff s Department,Gunshot,yes
White,San Bernadino,West,San Bernardino Police Department,Gunshot,yes
White,Sunnyvale,West,Sunnyvale Police Department,Gunshot,yes
White,Sacramento,West,Sacramento Police Department,Gunshot,yes
White,Vallejo,West,Vallejo Police Department,Gunshot,yes
White,Bakersfield,West,Bakersfield Police Department (Swat),Gunshot,yes
White,San Jose,West,San Jose Police Department,Gunshot,yes
White,Alpine,West,San Diego County Sheriff s Department,Gunshot,yes
White,Hemet,West,Riverside County Sheriff s Department,Gunshot,yes
White,Los Angeles,West,Los Angeles Police Department,Struck by vehicle,yes
White,Marysville,West,Yuba County Sheriff s Office,Taser,yes
Asian/Pacific Islander,Stockton,West,Stockton Police Department and San Joaquin County Sheriff s Office,Gunshot,yes
Asian/Pacific Islander,South El Monte,West,Los Angeles County Sheriff s Department,Gunshot,yes
Black,Modesto,West,Ceres Police Department,Gunshot,yes
Black,Anaheim,West,Anaheim Police Department,Gunshot,yes
Hispanic/Latino,Corning,West,Tehama County Sheriff s Department,Gunshot,yes
Hispanic/Latino,Santa Ana,West,Santa Ana Police Department,Gunshot,yes
Hispanic/Latino,Pomona,West,San Bernardino County Sheriff s Office,Gunshot,yes
Hispanic/Latino,Elk Grove,West,California Department of Fish and Wildlife,Gunshot,yes
Hispanic/Latino,Rio Linda,West,California Highway Patrol,Gunshot,yes
Hispanic/Latino,Pomona,West,Los Angeles Police Department,Gunshot,yes
White,Highland,West,Highland Police Department,Death in custody,yes
White,Hanford,West,Kings County Sheriff s Office,Gunshot,yes
Black,San Francisco,West,San Francisco Sheriff s Department,Death in custody,No
Black,Oxnard,West,Oxnard Police Department,Gunshot,No
Black,Hawthorne,West,Hawthorne Police Department,Gunshot,No
Hispanic/Latino,Santa Ana,West,Santa Ana Police Department,Gunshot,No
Hispanic/Latino,Long Beach,West,Long Beach Police Department,Gunshot,No
Hispanic/Latino,Los Angeles,West,Los Angeles Police Department,Gunshot,No
Hispanic/Latino,Los Angeles,West,Los Angeles Police Department,Gunshot,No
White,Rancho Santa Margarita,West,Orange County Sheriff s Department,Gunshot,No
White,Encinitas,West,San Diego County Sheriff s Department,Gunshot,No
White,Chino,West,Corona Police Department,Gunshot,No
Hispanic/Latino,Wilmington,West,Los Angeles Police Department,Gunshot,yes
Black,Santa Clara,West,Santa Clara Police Department,Gunshot,yes
White,San Francisco,West,San Francisco Police Department,Gunshot,yes
White,Stockton,West,Stockton Police Department,Gunshot,yes
Black,Los Angeles,West,Los Angeles Police Department,Gunshot,yes
Hispanic/Latino,San Francisco,West,San Francisco Police Department,Gunshot,yes
White,San Diego,West,San Diego Police Department,Gunshot,yes
White,Sebastopol,West,Sonoma County Sheriff s Office,Gunshot,yes
Asian/Pacific Islander,Boulder,West,Boulder County Sheriff s Office,Gunshot,yes
Black,Northglenn,West,Northglenn Police Department,Gunshot,yes
Black,Trinidad,West,Trinidad Police Department,Gunshot,yes
Hispanic/Latino,Denver,West,Denver Police Department,Gunshot,yes
Hispanic/Latino,Evans,West,Evans Police Department,Gunshot,yes
Hispanic/Latino,Pueblo,West,Pueblo Police Department,Gunshot,yes
White,Grand Junction,West,Grand Junction Police Department,Gunshot,yes
White,CaÍ__‘ï‘±on City,West,CaÍ__‘ï‘±on City Police Department,Gunshot,yes
White,Glenwood Springs,West,Garfield County Sheriff s Office,Gunshot,yes
Black,Aurora,West,Aurora Police Department,Gunshot,No
White,Craig,West,Moffat County Sheriff s Office and Colorado Parks and Wildlife Law Enforcement,Gunshot,No
Black,Aurora,West,Aurora Police Department,Gunshot,yes
White,Branford,Northeast,Branford Police Department,Taser,yes
Black,Washington,Southeast,Washington DC Metro Transit Police,Gunshot,yes
White,Smyrna,Southeast,Smyrna Police Department,Gunshot,yes
White,Claymount,Southeast,Delaware State Police,Gunshot,yes
Black,Putnam Hall,Southeast,Putnam County Sheriff s Office,Gunshot,yes
Black,Jacksonville,Southeast,Jacksonville Police Department,Gunshot,yes
Black,Fort Pierce,Southeast,Saint Lucie County Sheriff s Office,Gunshot,yes
Black,Jacksonville,Southeast,Jacksonville Sheriff s Office,Gunshot,yes
Black,Miami Gardens,Southeast,Miami Gardens Police Department,Gunshot,yes
Black,Coconut Creek,Southeast,Coconut Creek Police Department,Taser,yes
Black,Fort Lauderdale,Southeast,Broward Sheriff s Office,Unknown,yes
Hispanic/Latino,Lakeland,Southeast,Lakeland Police Department,Gunshot,yes
Hispanic/Latino,Orlando,Southeast,Orlando Police Department,Gunshot,yes
White,St Petersburg,Southeast,St Petersburg Police Department,Gunshot,yes
White,St Augustine,Southeast,St Johns County Sheriff s Office,Gunshot,yes
White,Clermont,Southeast,Lake County Sheriff s Office,Gunshot,yes
White,Tallahassee,Southeast,Tallahassee Police Department,Gunshot,yes
White,Navarre,Southeast,Santa Rosa County Sheriff s Office,Gunshot,yes
White,Orlando,Southeast,Orange County Sheriff s Office,Gunshot,yes
White,St Augustine,Southeast,St Johns County Sheriff s Office,Gunshot,yes
Black,Cocoa,Southeast,Brevard County Sheriff s Office,Gunshot,yes
Black,Miami,Southeast,Miami-Dade Police Department,Gunshot,yes
Hispanic/Latino,Key Largo,Southeast,Monroe County Sheriff s Office,Unknown,yes
White,Palm Bay,Southeast,Palm Bay Police Department,Gunshot,yes
White,Panama City,Southeast,Panama City Police Department,Gunshot,yes
Black,Lauderhill,Southeast,Lauderhill Police Department,Gunshot,No
White,Ocala,Southeast,Ocala Police Department,Gunshot,No
White,Tampa Bay,Southeast,Tampa Bay Police Department [US Marshals Service Task Force],Gunshot,No
White,Port St Joe,Southeast,Port St Joe Police Department,Gunshot,No
White,Sarasota,Southeast,Sarasota Police Department,Unknown,yes
Black,Fort Lauderdale,Southeast,Fort Lauderdale Police Department,Gunshot,Unknown
White,Deltona,Southeast,Volusia County Sheriff s Office,Gunshot,Unknown
Black,Tallahassee,Southeast,Tallahassee Police Department,Gunshot,yes
Black,Carrollton,Southeast,Carrolton Police Department,Gunshot,yes
Hispanic/Latino,Clarkesville,Southeast,Habersham County Sheriff s Office,Gunshot,yes
Unknown,Lawrenceville,Southeast,Gwinnett County Sheriff s Department,Gunshot,yes
White,Douglas,Southeast,Douglas Police Department,Gunshot,yes
White,Port Wentworth,Southeast,Port Wentworth Police Department,Gunshot,yes
White,Conyers,Southeast,Rockdale County Sheriff s office,Gunshot,yes
Black,Valdosta,Southeast,Lowndes County Sheriff s Office,Gunshot,yes
Black,Atlanta,Southeast,Smyrna Police Department,Gunshot,yes
Black,Rome,Southeast,Floyd County Sheriff s Office,Taser,yes
White,Moultrie,Southeast,Worth County Sheriff s Office,Gunshot,yes
Black,Chamblee,Southeast,DeKalb County Sheriff s Department,Gunshot,No
Black,Atlanta,Southeast,Atlanta Police Department,Struck by vehicle,No
White,Eatonton,Southeast,Putnam County Sheriff s Department,Gunshot,No
White,Powder Springs,Southeast,Cobb County Sheriff s Office,Gunshot,No
Black,Savannah,Southeast,Chatham County Sheriff s Office,Death in custody,yes
Black,Atlanta,Southeast,Atlanta Police Department,Gunshot,yes
White,Waikoloa Village,West,Hawaii Police Department,Struck by vehicle,yes
White,Kaumakani,West,Kauai Police Department,Struck by vehicle,yes
Asian/Pacific Islander,Honolulu,West,US Marshals Service,Gunshot,No
Asian/Pacific Islander,Honolulu,West,Honolulu Police Department,Taser,No
White,Burlington,Midwest,Burlington Police Department,Gunshot,yes
White,Des Moines,Midwest,Des Moines Police Department,Gunshot,yes
White,Middleton,West,Canyon County Sheriff s Office,Gunshot,yes
White,Boise,West,Boise Police Department,Gunshot,yes
White,Rigby,West,Jefferson County Sheriff Department,Gunshot,No
White,Rexburg,West,Rexburg Police Department,Gunshot,yes
Black,Zion,Midwest,Zion Police Department,Gunshot,yes
Black,Joliet,Midwest,Joliet Police Department,Gunshot,yes
White,Rosemont,Midwest,Rosemont Police Department,Gunshot,yes
White,Marion,Midwest,Marion Police Department  Illinois State Police and Williamson County Sheriff s Department,Gunshot,yes
White,Rockford,Midwest,Rockford Police Department,Gunshot,yes
White,Arcola,Midwest,Tuscola Police Department,Gunshot,yes
Black,Rock Island,Midwest,Rock Island Police Department,Gunshot,No
Black,Chicago,Midwest,Chicago Police Department,Gunshot,No
Black,Harvey,Midwest,Harvey Police Department,Gunshot,No
Hispanic/Latino,Alton,Midwest,Alton Police Department,Gunshot,No
White,Metropolis,Midwest,Metropolis Police Department,Gunshot,yes
Black,Monon,Midwest,Indiana State Police  Tippecanoe County Sheriff s Department,Gunshot,yes
White,Terre Haute ,Midwest,Terre Haute Police Department ,Gunshot,yes
White,Indianapolis,Midwest,Indianapolis Metropolitan Police Department,Gunshot,yes
White,Crown Point,Midwest,Lake County Sheriff s Department,Taser,yes
White,Harmony,Midwest,Clay County Sheriff s Department,Gunshot,No
White,Indianapolis,Midwest,Indianapolis Metropolitan Police Department,Gunshot,yes
Black,Indianapolis,Midwest,Indianapolis Metropolitan Police Department,Gunshot,yes
Black,Indianapolis,Midwest,Indianapolis Metropolitan Police Department,Gunshot,yes
White,Gardner,Midwest,Gardner Police Department,Gunshot,yes
White,Topeka,Midwest,Topeka Police Department,Gunshot,yes
White,Kansas City,Midwest,Kansas City KS Police Department,Taser,yes
Hispanic/Latino,Wichita,Midwest,Wichita Police Department,Gunshot,yes
White,Assaria,Midwest,Saline County Sheriff s Office,Gunshot,yes
Hispanic/Latino,Kansas City,Midwest,Kansas City KS Police Department and Kansas Highway Patrol,Gunshot,yes
Black,Owensboro,Southeast,Owensboro Police Department and Kentucky State Police,Gunshot,yes
White,Williamsburg,Southeast,Whitley County Sheriff s Department and Kentucky State Police,Death in custody,yes
White,Gunlock,Southeast,Magoffin County Sheriff s Office and Kentucky State Police,Gunshot,yes
Black,Elizabethtown,Southeast,Elizabethtown Police Department,Gunshot,yes
White,Chavies,Southeast,Kentucky State Police,Gunshot,No
White,Stanford,Southeast,Stanford Police Department,Struck by vehicle,No
White,Wilmore,Southeast,Wilmore Police Department,Gunshot,yes
Black,Kenner,Southeast,Jefferson Parish Sheriff s Office,Gunshot,Disputed
Black,Harvey,Southeast,Jefferson Parish Sheriff s Office,Gunshot,yes
Black,Harvey,Southeast,Jefferson Parish Sheriff s Office,Gunshot,yes
Black,New Orleans,Southeast,New Orleans Police Department,Gunshot,yes
White,Bossier City,Southeast,FBI,Gunshot,yes
White,Denham Springs,Southeast,Denham Springs Police Department,Gunshot,yes
White,Tallulah,Southeast,Louisiana State Troopers,Struck by vehicle,yes
White,Ville Platte,Southeast,Evangeline Parish Sheriff s Office,Gunshot,yes
White,Pineville,Southeast,Rapides Parish Sheriff s Office,Gunshot,No
Black,New Orleans,Southeast,New Orleans Police Department,Gunshot,yes
Black,Baton Rouge,Southeast,US Marshals Service,Gunshot,yes
Black,Roxbury,Northeast,Boston Police Department,Gunshot,yes
White,Weymouth,Northeast,Weymouth Police Department,Gunshot,yes
White,Tewksbury,Northeast,Tewksbury Police Department,Gunshot,No
White,Webster,Northeast,Webster Police Department,Gunshot,No
White,Chatham,Northeast,Chatham Police Department,Struck by vehicle,Unknown
Black,Baltimore,Southeast,Baltimore Police Department,Death in custody,yes
